Incident ID,Year,Month,Day,Country Code,Country,Region,District,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Motive,Actor type,Actor name,Details,Verified,Source
1,1997,1.0,,KH,Cambodia,Banteay Meanchey,,,0,0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,14.07092855,103.099916,Unknown,Unknown,Unknown,1 ICRC national staff killed while working in Banteay Meanchey province.,Archived,Archived
2,1997,1.0,,RW,Rwanda,Northern,Musanze,Ruhengeri,0,4,0.0,0.0,0.0,0,0,0,0,0,3,1,0,4,3,1,0,4,3,1,0,Shooting,Raid,Office/compound,-1.49984,29.63497,Unknown,Unknown,Unknown,"3 INGO international (Spanish) staff killed, 1 INGO international (US) staff gravely wounded during armed raid on INGO compound in Ruhengeri, Rwanda.",Archived,Archived
